mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
2.215,0.758,1.225,0.041,0.553,0.392,2.211,8.498,0.0
2.655,0.801,0.415,0.048,0.539,0.523,1.525,9.655,0.0
3.185,0.83,0.257,0.049,0.452,0.541,1.299,11.963,0.0
3.695,0.831,0.195,0.042,0.476,0.551,1.264,13.286,0.0
3.885,0.861,0.14,0.045,0.376,0.504,1.064,15.556,0.0
4.64,0.854,0.127,0.047,0.397,0.512,1.083,25.91,0.0
4.545,0.88,0.125,0.044,0.332,0.483,0.984,26.993,0.0
4.35,0.88,0.105,0.041,0.342,0.414,0.902,30.874,0.0
4.495,0.905,0.084,0.041,0.29,0.415,0.831,36.292,0.0
4.215,0.904,0.083,0.041,0.253,0.396,0.773,37.246,0.0
3.78,0.906,0.081,0.038,0.262,0.392,0.773,41.283,0.0
4.235,0.906,0.074,0.034,0.252,0.346,0.706,51.114,0.0
